# uname -a
Linux buildroot 5.10.7 #1 SMP Thu Nov 18 19:08:18 EET 2021 x86_64 GNU/Linux

# free
              total        used        free      shared  buff/cache   available
Mem:         114836       15688       92408          60        6740       94732
Swap:             0           0           0

# ./allocate_test 
|---------------------|---------------|--------------|
|        Size         | malloc Time   | free Time    |
|---------------------|---------------|--------------|
|   36028797018963968 | 0.000005758   | 0.000058309  |
|   72057594037927936 | 0.000005486   | 0.000058309  |
|  144115188075855872 | 0.000005832   | 0.000058309  |
|  288230376151711744 | 0.000005602   | 0.000058309  |
|  576460752303423488 | 0.000005510   | 0.000058309  |
| 1152921504606846976 | 0.000004267   | 0.000058309  |
| 2305843009213693952 | 0.000012171   | 0.000058309  |
| 4611686018427387904 | 0.000001423   | 0.000058309  |
| 9223372036854775808 | 0.000001477   | 0.000058309  |
|---------------------|---------------|--------------|
|---------------------|---------------|--------------|
|        Size         | alloca Time   | free Time    |
|---------------------|---------------|--------------|
|                   1 | 0.000015613   | 0.000010515  |
|                   2 | 0.000001428   | 0.000000743  |
|                   4 | 0.000001297   | 0.000000814  |
|                   8 | 0.000001205   | 0.000000714  |
|                  16 | 0.000001197   | 0.000000707  |
|                  32 | 0.000001186   | 0.000000679  |
|                  64 | 0.000001161   | 0.000000719  |
|                 128 | 0.000001226   | 0.000000697  |
|                 256 | 0.000001158   | 0.000000721  |
|                 512 | 0.000001229   | 0.000000708  |
|                1024 | 0.000001206   | 0.000000723  |
|                2048 | 0.000001097   | 0.000000730  |
|                4096 | 0.000002183   | 0.000000735  |
|                8192 | 0.000001847   | 0.000000754  |
|               16384 | 0.000024297   | 0.000001312  |
|               32768 | 0.000009587   | 0.000001045  |
|               65536 | 0.000009000   | 0.000001000  |
|              131072 | 0.000360096   | 0.000001771  |
|              262144 | 0.000030910   | 0.000001060  |
|              524288 | 0.000013758   | 0.000001263  |
|             1048576 | 0.000013864   | 0.000001099  |
|             2097152 | 0.000010903   | 0.000001095  |
|             4194304 | 0.000012563   | 0.000001204  |
allocate_test[119]: segfault at 7ffc176c0f58 ip 00000000004015a8 sp 00007ffc176c0f60 error 6 in allocate_test[401000+1000]
Code: 00 48 f7 f1 48 6b c0 10 48 29 c4 48 89 e0 48 83 c0 0f 48 c1 e8 04 48 c1 e0 04 48 89 45 f8 48 8b 45 d8 48 89 c6 bf 01 00 00 00 <e8> 83 fa ff ff 48 8b 45 f8 c9 c3 55 48 89 e5 48 83 c4 80 89 7d 8c
Segmentation fault
